ID,MaternalID,Maternal.Mass,Treatment,Egg_Number,Ovi_Date,Status,Status2,Day,Week ,Egg_Mass,Classification,Survival,Hatch Date,Tail,Sex (L),Sex ,Incubation,SVL,Mass,Relative.Egg,Relative.Mass,Relative.SVL
1/3103-113,F1/3103,2.2,Control,113,8/22/2018,Control,Investment,15,2,0.178,Post,1,10/5/2018,30.7,M,1,44,18.8,0.173,0.080909091,0.078636364,8.545454545
1/3103-127,F1/3103,2.2,Control,127,8/27/2018,Control,Investment,20,2,0.158,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.071818182,NA,NA
1/3103-144,F1/3103,2.2,Control,144,9/3/2018,Control,Investment,27,2,0.185,Post,0,NA,NA,NA,NA,NA,NA,NA,0.084090909,NA,NA
1/3103-164,F1/3103,1.8,Control,164,9/12/2018,Control,Recovery,36,4,0.17,Post,0,NA,NA,NA,NA,NA,NA,NA,0.094444444,NA,NA
1/3103-195,F1/3103,1.8,Control,195,9/24/2018,Control,Recovery,46,6,0.165,Post,1,11/4/2018,29.71,M,1,41,18.47,0.166,0.091666667,0.092222222,10.26111111
1/3103-212,F1/3103,1.9,Control,212,10/3/2018,Control,Recovery,55,8,0.169,Post,1,11/2/2018,29.63,M,1,30,17.68,0.133,0.088947368,0.07,9.305263158
1/3103-220,F1/3103,1.9,Control,220,10/8/2018,Control,Recovery,60,8,0.142,Post,0,NA,NA,NA,NA,NA,NA,NA,0.074736842,NA,NA
1/3103-70,F1/3103,2.2,Control,70,8/10/2018,,,3,0,0.161,Pre,1,9/24/2018,30.4,F,0,45,18.5,0.146,0.073181818,0.066363636,8.409090909
11/21/23-95,F11/21/23,2.4,Control,95,8/20/2018,Control,Investment,13,0,0.159,Pre,1,10/2/2018,26.4,M,1,43,15.7,0.122,0.06625,0.050833333,6.541666667
11/21/23-177,F11/21/23,1.7,Control,177,9/17/2018,Control,Recovery,41,4,0.17,Post,0,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
11/21/23-184,F11/21/23,1.7,Control,184,9/21/2018,Control,Recovery,43,6,0.145,Post,1,10/30/2018,30.12,M,1,39,17.15,0.143,0.085294118,0.084117647,10.08823529
11/21/23-204,F11/21/23,2.36,Control,204,10/3/2018,Control,Recovery,55,8,0.149,Post,0,NA,NA,NA,NA,NA,NA,NA,0.063135593,NA,NA
11/21/23-205,F11/21/23,2.36,Control,205,10/3/2018,Control,Recovery,55,8,0.171,Post,1,11/7/2018,30.58,F,0,35,17.51,0.156,0.072457627,0.066101695,7.419491525
